AttackingType,DefendingType
"Fighting","Normal"
"Fighting","Rock"
"Fighting","Steel"
"Fighting","Ice"
"Fighting","Dark"
"Flying","Fighting"
"Flying","Bug"
"Flying","Grass"
"Poison","Grass"
"Ground","Poison"
"Ground","Rock"
"Ground","Steel"
"Ground","Fire"
"Ground","Electric"
"Rock","Flying"
"Rock","Bug"
"Rock","Fire"
"Rock","Ice"
"Bug","Grass"
"Bug","Psychic"
"Bug","Dark"
"Ghost","Ghost"
"Ghost","Psychic"
"Steel","Rock"
"Steel","Ice"
"Fire","Bug"
"Fire","Steel"
"Fire","Ice"
"Water","Ground"
"Water","Rock"
"Water","Fire"
"Grass","Ground"
"Grass","Rock"
"Grass","Water"
"Electric","Flying"
"Electric","Water"
"Psychic","Fighting"
"Psychic","Poison"
"Ice","Flying"
"Ice","Ground"
"Ice","Grass"
"Ice","Dragon"
"Dragon","Dragon"
"Dark","Ghost"
"Dark","Psychic"
